prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8
2,3,12,0,0,0,0,0
1,1,3,1,7,41,32,31
1,1,3,1,6,42,33,32
1,1,3,23,25,43,0,0
1,1,27,21,26,44,0,0
16,5,28,0,0,0,0,0
4,3,12,0,0,0,0,0
1,1,3,20,27,45,0,0
1,1,3,7,28,46,0,0
5,5,29,0,0,0,0,0
1,1,3,1,29,47,34,33
17,4,7,24,0,0,0,0
1,1,3,1,7,48,35,34
6,5,30,0,0,0,0,0
1,1,1,1,15,49,36,35
1,1,1,1,21,50,37,36
2,5,31,0,0,0,0,0
1,1,3,1,21,51,38,37
2,3,4,0,0,0,0,0
2,5,32,0,0,0,0,0
2,4,7,25,0,0,0,0
1,1,3,1,1,52,39,38
1,1,3,1,30,53,40,39
2,4,7,24,0,0,0,0
1,1,3,7,31,54,0,0
2,5,33,0,0,0,0,0
2,5,34,0,0,0,0,0
10,4,6,26,0,0,0,0
1,1,3,1,13,26,41,40
1,1,3,1,24,55,42,41
3,4,7,4,32,0,0,0
1,1,1,1,15,56,43,42
1,1,3,1,16,57,44,43
1,1,3,1,11,58,45,44
4,5,35,0,0,0,0,0
10,5,36,0,0,0,0,0
1,1,3,1,7,59,46,45
3,5,37,0,0,0,0,0
1,1,38,21,26,44,0,0
1,1,3,1,11,9,47,46
1,1,3,1,30,60,48,47
2,4,7,5,0,0,0,0
7,4,7,27,0,0,0,0
1,1,3,1,12,61,49,48
18,2,39,0,0,0,0,0
3,4,6,22,0,0,0,0
13,4,7,27,0,0,0,0
1,1,3,1,30,62,50,49
1,1,3,1,24,63,51,50
2,5,40,0,0,0,0,0
1,7,41,28,6,64,0,0
5,4,7,4,33,0,0,0
1,1,3,1,1,65,52,51
2,5,42,0,0,0,0,0
2,4,6,12,0,0,0,0
1,1,3,1,4,13,53,52
1,1,3,1,3,3,3,53
1,1,3,1,16,57,54,54
1,1,3,1,21,33,55,55
1,1,43,21,26,44,0,0
1,1,44,21,26,44,0,0
3,5,45,0,0,0,0,0
4,4,6,8,0,0,0,0
3,2,39,0,0,0,0,0
1,1,1,1,6,66,56,56
1,1,1,1,7,67,57,57
1,7,46,20,11,68,0,0
1,1,3,1,24,69,58,58
1,1,3,1,15,70,59,59
19,8,0,0,0,0,0,0
1,1,1,1,3,3,3,60
1,1,3,1,14,12,60,61
2,4,7,27,0,0,0,0
1,1,3,1,15,71,61,62
1,1,3,1,16,72,62,63
2,2,39,0,0,0,0,0
1,1,3,1,7,73,63,64
1,1,3,1,3,3,64,65
3,4,7,5,0,0,0,0
1,1,3,1,11,74,65,66
3,4,6,3,0,0,0,0
1,1,3,1,3,75,66,67
1,1,3,1,12,76,67,68
1,1,3,1,30,53,40,69
4,3,13,2,0,0,0,0
1,1,3,1,4,77,68,70
1,1,3,1,16,57,54,71
1,1,3,1,14,78,69,72
1,1,3,1,21,79,70,73
1,1,3,1,7,80,71,74
1,1,1,1,16,81,72,75
4,4,6,13,0,0,0,0
2,5,47,0,0,0,0,0
1,1,3,1,11,82,73,76
3,4,6,13,0,0,0,0
7,4,6,9,0,0,0,0
1,1,3,1,15,83,74,77
1,1,1,1,3,84,75,78
2,4,7,29,0,0,0,0
1,1,3,1,16,85,76,79
1,1,3,1,13,86,77,80
1,1,3,30,34,87,0,0
1,1,3,1,3,88,78,81
2,5,48,0,0,0,0,0
5,3,49,31,0,0,0,0
14,3,22,32,0,0,0,0
1,1,3,1,12,89,79,82
1,1,3,1,14,90,80,83
14,9,6,33,0,0,0,0
4,5,50,0,0,0,0,0
1,1,3,1,15,14,81,84
1,1,3,1,13,91,82,85
1,1,3,1,16,38,83,86
1,1,1,1,30,92,84,87
1,1,1,1,1,93,85,88
1,1,3,1,11,58,86,89
1,1,1,7,9,94,0,0
3,4,6,8,0,0,0,0
5,5,51,0,0,0,0,0
4,3,52,32,0,0,0,0
1,7,53,14,3,95,0,0
1,1,3,1,30,62,87,90
1,1,3,1,2,96,88,91
2,9,54,0,0,0,0,0
1,1,3,1,29,97,89,92
1,1,3,1,21,98,90,93
1,1,1,1,21,79,91,94
1,1,1,1,16,99,92,95
1,1,3,34,35,100,0,0
2,3,21,35,36,0,0,0
3,3,5,2,0,0,0,0
4,4,6,36,0,0,0,0
5,5,55,0,0,0,0,0
2,5,56,0,0,0,0,0
1,1,1,37,37,101,0,0
4,5,57,0,0,0,0,0
2,5,58,0,0,0,0,0
3,3,59,32,0,0,0,0
1,1,3,1,15,102,93,96
1,1,3,1,1,103,94,97
1,1,3,1,12,15,95,98
1,1,3,1,4,104,96,99
10,3,5,2,0,0,0,0
2,3,60,0,0,0,0,0
1,1,3,1,29,105,97,100
1,1,1,7,38,106,0,0
1,1,3,1,7,41,98,101
1,1,3,1,4,107,99,102
1,1,3,1,16,57,54,103
1,1,3,1,16,57,100,104
10,4,6,22,0,0,0,0
1,1,3,1,6,108,101,105
1,1,3,1,4,77,102,106
1,1,3,1,1,109,103,107
3,5,61,0,0,0,0,0
1,1,3,1,1,110,104,108
1,1,3,1,29,111,105,109
2,5,62,0,0,0,0,0
1,1,3,1,21,112,106,110
1,1,3,1,7,6,107,111
10,3,13,2,0,0,0,0
2,9,6,38,0,0,0,0
3,5,63,0,0,0,0,0
1,1,3,1,11,82,108,112
1,1,3,1,3,113,109,113
20,4,6,22,0,0,0,0
1,1,3,1,14,114,110,114
1,1,1,1,16,115,111,115
5,3,64,0,0,0,0,0
1,1,3,16,19,116,0,0
3,5,65,0,0,0,0,0
21,4,6,22,0,0,0,0
3,3,21,35,36,0,0,0
17,4,7,11,0,0,0,0
2,5,66,0,0,0,0,0
1,1,3,39,39,117,0,0
13,4,6,8,0,0,0,0
2,5,67,0,0,0,0,0
5,5,68,0,0,0,0,0
2,5,69,0,0,0,0,0
1,1,38,1,13,91,112,116
1,1,3,1,29,118,113,117
1,1,3,1,12,119,114,118
1,1,3,1,14,120,115,119
1,1,3,1,29,121,116,120
1,1,3,1,11,9,8,121
1,1,3,1,16,38,117,122
1,1,3,1,29,122,118,123
1,1,3,1,30,92,119,124
1,1,3,1,15,56,120,125
1,1,3,1,3,123,121,126
1,1,3,1,3,124,122,127
1,1,3,1,21,125,123,128
1,1,3,1,14,12,124,129
1,1,70,37,40,126,0,0
2,5,71,0,0,0,0,0
1,1,3,1,3,75,66,130
22,4,7,11,0,0,0,0
1,7,72,40,12,127,0,0
23,4,7,24,0,0,0,0
1,1,3,1,12,128,125,131
1,1,1,1,12,89,126,132
24,4,7,4,41,0,0,0
1,1,3,1,12,128,127,133
1,1,1,20,42,129,0,0
1,1,3,1,21,98,128,134
1,1,3,1,16,130,129,135
1,1,1,1,1,109,130,136
5,4,6,13,0,0,0,0
1,1,3,1,6,131,131,137
1,1,1,1,3,123,132,138
25,4,7,4,8,0,0,0
1,1,1,1,29,111,133,139
26,5,73,0,0,0,0,0
27,4,7,41,0,0,0,0
2,5,74,0,0,0,0,0
1,1,3,1,1,132,134,140
1,1,3,1,7,133,135,141
2,4,7,41,0,0,0,0
3,4,7,11,0,0,0,0
1,1,3,1,16,57,136,142
1,1,3,1,4,4,4,143
1,1,1,1,29,97,137,144
5,5,75,0,0,0,0,0
1,1,3,1,2,96,138,145
1,1,3,1,4,4,139,146
1,1,3,1,3,3,140,147
5,5,76,0,0,0,0,0
1,1,3,1,15,134,141,148
1,1,3,1,16,115,142,149
1,1,3,1,3,135,143,150
1,1,3,1,12,136,144,151
2,5,77,0,0,0,0,0
3,4,7,4,5,0,0,0
1,1,3,1,11,137,145,152
1,1,1,1,30,138,146,153
1,1,1,23,43,139,0,0
2,5,78,0,0,0,0,0
2,5,79,0,0,0,0,0
1,1,3,17,44,140,0,0
5,5,80,42,0,0,0,0
1,1,3,1,3,141,147,154
1,1,3,1,6,108,148,155
2,3,81,0,0,0,0,0
1,1,3,1,29,121,149,156
2,5,82,0,0,0,0,0
3,4,6,9,0,0,0,0
1,1,1,43,45,142,0,0
3,4,7,4,46,0,0,0
1,1,3,1,24,143,150,157
1,1,3,1,24,144,151,158
2,5,83,0,0,0,0,0
1,7,25,7,15,145,0,0
2,5,84,0,0,0,0,0
1,1,1,1,30,53,152,159
1,1,1,14,47,146,0,0
1,1,3,1,1,93,153,160
1,1,3,1,16,20,154,161
1,1,3,1,16,147,155,162
2,4,7,44,0,0,0,0
1,1,3,1,21,148,156,163
2,5,85,0,0,0,0,0
1,1,38,1,2,149,157,164
2,5,86,0,0,0,0,0
1,1,1,1,16,150,158,165
1,1,3,1,6,5,159,166
4,2,39,0,0,0,0,0
28,3,87,45,0,0,0,0
1,1,3,1,29,105,160,167
1,1,3,1,15,151,161,168
1,1,3,1,15,70,162,169
1,1,3,1,15,151,163,170
29,3,88,2,0,0,0,0
3,4,7,27,0,0,0,0
1,1,3,1,3,141,164,171
1,1,3,1,13,26,165,172
30,4,6,9,0,0,0,0
1,1,1,7,48,152,0,0
1,1,1,1,24,153,166,173
1,1,1,1,4,154,167,174
1,1,3,1,7,155,168,175
1,1,3,1,13,23,169,176
1,1,3,1,11,156,170,177
5,3,21,18,20,157,0,0
3,4,7,4,49,0,0,0
1,1,3,1,24,143,171,178
1,1,70,1,30,60,172,179
7,5,89,0,0,0,0,0
1,1,3,1,24,158,173,180
1,1,90,21,26,44,0,0
2,5,91,0,0,0,0,0
3,5,92,0,0,0,0,0
2,9,6,46,0,0,0,0
1,1,3,1,16,57,44,181
1,1,3,1,16,130,174,182
1,1,3,1,16,130,175,183
2,4,6,36,0,0,0,0
1,1,3,1,4,159,176,184
13,4,6,12,0,0,0,0
1,1,3,1,21,125,177,185
7,3,13,2,0,0,0,0
1,1,3,1,24,160,178,186
1,1,3,1,3,75,179,187
1,1,3,1,3,3,3,188
29,4,7,29,0,0,0,0
1,1,3,1,12,61,180,189
1,7,41,16,3,161,0,0
1,7,93,28,15,162,0,0
1,1,3,1,6,163,181,190
13,4,6,13,0,0,0,0
1,1,1,20,50,164,0,0
1,1,3,1,4,165,182,191
1,1,3,1,4,166,183,192
17,4,7,4,5,0,0,0
1,1,3,43,51,167,0,0
11,4,7,10,0,0,0,0
1,1,3,1,12,168,184,193
1,1,1,23,52,169,0,0
1,1,3,43,53,170,0,0
27,4,6,9,0,0,0,0
2,5,94,0,0,0,0,0
2,5,95,0,0,0,0,0
1,1,3,1,4,159,185,194
3,4,7,24,0,0,0,0
1,1,3,1,13,171,186,195
1,1,3,1,11,21,187,196
5,3,21,35,36,0,0,0
1,1,3,20,50,172,0,0
27,4,7,11,0,0,0,0
1,1,1,1,2,173,188,197
5,4,7,24,0,0,0,0
1,1,3,1,21,98,189,198
10,4,7,4,54,0,0,0
1,1,1,1,13,174,190,199
5,5,96,0,0,0,0,0
2,5,97,0,0,0,0,0
1,1,3,1,29,105,97,200
1,1,3,1,21,175,191,201
2,5,98,0,0,0,0,0
1,1,3,1,29,97,192,202
5,4,6,12,0,0,0,0
1,1,3,1,30,92,193,203
1,1,3,1,4,176,194,204
1,1,3,47,55,177,0,0
1,1,3,1,7,67,195,205
2,5,99,0,0,0,0,0
1,1,3,1,12,168,196,206
2,5,100,0,0,0,0,0
2,5,101,0,0,0,0,0
2,5,102,0,0,0,0,0
1,1,3,1,24,143,197,207
1,1,3,1,15,14,198,208
2,5,103,0,0,0,0,0
1,1,3,1,1,103,199,209
1,1,3,1,4,178,200,210
2,6,0,0,0,0,0,0
2,5,104,0,0,0,0,0
1,1,3,1,13,179,201,211
1,1,3,1,13,180,202,212
1,1,3,1,3,3,3,213
1,1,3,1,12,89,79,214
2,5,105,0,0,0,0,0
7,4,6,8,0,0,0,0
1,1,3,1,16,147,203,215
1,1,3,1,11,181,204,216
2,5,106,0,0,0,0,0
1,1,3,39,56,182,0,0
1,1,3,1,7,183,205,217
1,1,3,1,13,91,82,218
1,1,1,1,6,163,206,219
2,5,107,0,0,0,0,0
1,1,3,1,16,184,207,220
31,4,6,22,0,0,0,0
2,5,108,0,0,0,0,0
30,4,6,6,0,0,0,0
3,4,7,10,0,0,0,0
1,1,1,1,15,151,208,221
1,1,3,30,57,185,0,0
10,5,109,0,0,0,0,0
32,3,13,2,0,0,0,0
1,1,44,34,58,186,0,0
1,1,3,1,14,78,209,222
18,4,6,8,0,0,0,0
1,1,3,1,1,187,210,223
2,4,7,48,0,0,0,0
19,10,0,0,0,0,0,0
1,1,3,1,2,2,2,224
1,1,1,7,38,188,0,0
1,1,3,1,13,189,211,225
1,1,1,43,59,190,0,0
17,3,110,0,0,0,0,0
5,4,6,3,0,0,0,0
1,1,3,1,3,16,212,226
2,5,111,0,0,0,0,0
1,1,3,1,1,52,213,227
2,5,112,0,0,0,0,0
1,1,3,1,1,191,214,228
3,4,6,26,0,0,0,0
33,4,6,49,0,0,0,0
1,1,3,1,7,6,215,229
1,1,38,14,47,192,0,0
1,1,1,1,16,72,216,230
28,4,6,13,0,0,0,0
2,5,113,0,0,0,0,0
1,1,3,1,1,93,217,231
28,4,7,5,0,0,0,0
3,3,114,31,0,0,0,0
1,1,1,43,60,193,0,0
13,5,115,0,0,0,0,0
1,1,3,1,14,17,218,232
2,5,116,0,0,0,0,0
1,1,44,28,61,194,0,0
1,1,1,1,21,79,219,233
3,5,117,0,0,0,0,0
1,1,3,1,4,159,220,234
1,1,3,14,62,195,0,0
2,5,118,0,0,0,0,0
1,1,3,1,24,196,221,235
1,1,1,1,1,109,222,236
3,3,12,0,0,0,0,0
1,1,3,1,21,98,223,237
4,4,6,50,0,0,0,0
31,4,7,24,0,0,0,0
1,1,119,17,63,197,0,0
5,3,5,2,0,0,0,0
19,11,0,0,0,0,0,0
7,4,7,4,8,0,0,0
34,3,120,0,0,0,0,0
1,1,3,1,24,158,224,238
21,4,7,27,0,0,0,0
1,1,3,1,13,174,225,239
1,1,3,1,24,196,226,240
1,1,3,1,13,198,227,241
1,1,3,1,13,199,228,242
4,5,121,0,0,0,0,0
1,1,1,1,29,97,229,243
5,5,122,0,0,0,0,0
1,1,1,1,30,200,230,244
1,1,1,20,64,201,0,0
1,1,3,1,16,81,231,245
1,1,70,21,65,202,0,0
1,1,3,1,11,9,232,246
1,1,1,20,66,203,0,0
30,4,6,51,0,0,0,0
1,1,3,1,24,160,233,247
1,1,38,15,67,204,0,0
1,1,3,1,12,205,234,248
2,5,28,0,0,0,0,0
1,1,3,1,1,206,235,249
5,3,123,31,0,0,0,0
1,1,1,1,24,55,236,250
3,3,124,32,0,0,0,0
3,4,6,52,0,0,0,0
1,1,3,1,12,119,237,251
1,1,3,1,11,207,238,252
2,5,125,0,0,0,0,0
28,3,126,45,0,0,0,0
5,3,4,0,0,0,0,0
35,4,7,11,0,0,0,0
1,1,3,1,29,208,239,253
12,3,81,0,0,0,0,0
5,5,127,0,0,0,0,0
1,1,1,1,15,14,240,254
1,1,3,1,24,209,241,255
5,3,13,2,0,0,0,0
1,1,1,7,68,210,0,0
1,1,3,1,2,211,242,256
1,7,41,16,30,212,0,0
1,1,128,21,26,44,0,0
2,5,129,0,0,0,0,0
1,1,3,1,7,213,243,257
1,1,3,1,11,214,244,258
1,1,3,1,2,215,245,259
1,1,3,1,7,18,246,260
1,1,3,1,30,92,247,261
5,5,130,0,0,0,0,0
1,1,1,28,69,216,0,0
2,3,131,53,0,0,0,0
28,3,12,0,0,0,0,0
36,6,0,0,0,0,0,0
5,5,132,0,0,0,0,0
1,1,3,47,70,217,0,0
19,12,0,0,0,0,0,0
1,1,3,1,16,57,44,262
7,4,7,11,0,0,0,0
1,1,3,1,29,218,248,263
4,5,133,0,0,0,0,0
10,4,6,9,0,0,0,0
1,1,3,1,1,187,249,264
1,1,3,1,11,219,250,265
1,1,3,1,1,109,251,266
10,4,6,36,0,0,0,0
1,1,3,1,12,205,252,267
1,1,1,1,16,220,253,268
1,1,3,1,16,184,254,269
1,1,3,1,4,13,255,270
1,7,134,28,16,221,0,0
2,5,135,0,0,0,0,0
2,5,136,0,0,0,0,0
1,1,3,1,6,27,256,271
1,1,1,1,14,222,257,272
1,1,1,28,71,223,0,0
1,1,3,1,12,136,258,273
1,1,3,1,30,138,259,274
1,1,3,1,7,6,260,275
1,1,1,23,52,224,0,0
3,4,6,6,0,0,0,0
17,3,5,2,0,0,0,0
1,1,3,1,11,219,261,276
1,1,3,1,30,225,262,277
1,1,3,1,4,176,263,278
1,1,3,1,6,226,264,279
3,5,137,0,0,0,0,0
1,1,3,1,2,227,265,280
10,3,12,0,0,0,0,0
1,1,3,1,24,209,266,281
17,5,138,0,0,0,0,0
2,5,139,0,0,0,0,0
27,4,7,4,5,0,0,0
10,4,6,12,0,0,0,0
5,6,0,0,0,0,0,0
1,1,3,1,24,153,267,282
7,3,12,0,0,0,0,0
30,4,6,8,0,0,0,0
2,5,140,0,0,0,0,0
1,1,3,34,72,228,0,0
1,1,141,1,24,63,268,283
1,1,1,47,73,229,0,0
1,1,3,1,4,104,269,284
37,5,142,0,0,0,0,0
2,5,143,0,0,0,0,0
1,1,3,39,56,230,0,0
1,1,1,1,3,75,270,285
1,1,3,1,30,231,271,286
1,1,1,21,74,232,0,0
1,1,90,28,75,233,0,0
1,1,3,1,30,60,272,287
1,1,3,1,7,41,273,288
1,1,3,1,29,234,274,289
2,5,144,0,0,0,0,0
1,1,90,7,76,235,0,0
1,1,3,1,6,236,275,290
2,9,145,0,0,0,0,0
1,1,1,1,4,237,276,291
1,1,3,7,77,238,0,0
1,1,3,21,74,239,0,0
1,1,3,1,15,240,277,292
11,3,13,2,0,0,0,0
1,7,46,17,29,241,0,0
1,1,3,1,29,105,278,293
1,1,1,1,3,88,279,294
1,7,41,28,1,242,0,0
2,5,146,0,0,0,0,0
5,3,15,0,0,0,0,0
1,1,3,1,30,53,40,295
1,1,3,1,2,211,242,296
1,1,3,1,30,92,280,297
1,1,3,1,24,160,233,298
1,1,3,1,14,114,281,299
1,1,1,34,78,243,0,0
2,5,147,0,0,0,0,0
33,4,6,12,0,0,0,0
1,1,1,1,7,244,282,300
1,1,3,1,3,141,283,301
4,5,148,54,0,0,0,0
1,1,3,47,73,245,0,0
30,4,7,11,0,0,0,0
1,1,1,1,15,246,284,302
1,1,3,1,7,244,285,303
2,5,149,55,0,0,0,0
1,1,1,1,4,247,286,304
1,1,1,1,30,248,287,305
1,1,3,28,79,249,0,0
2,5,150,0,0,0,0,0
13,4,7,5,0,0,0,0
1,1,1,1,24,153,288,306
1,1,3,1,16,147,289,307
2,5,151,0,0,0,0,0
1,1,1,21,74,250,0,0
1,1,3,1,16,130,290,308
4,4,7,24,0,0,0,0
1,1,3,43,45,251,0,0
1,1,3,1,29,97,291,309
4,5,152,0,0,0,0,0
1,1,3,1,3,3,3,60
1,1,3,1,15,252,292,310
7,5,153,0,0,0,0,0
1,1,3,1,2,149,293,311
7,4,6,3,0,0,0,0
1,1,1,47,55,253,0,0
1,1,3,1,14,36,294,312
1,1,3,1,6,131,295,313
1,1,1,1,4,165,296,314
1,1,3,1,13,91,297,315
1,1,1,1,1,52,298,316
1,1,44,40,80,254,0,0
10,5,154,0,0,0,0,0
1,1,3,1,2,211,242,317
13,4,7,4,8,0,0,0
1,1,3,1,13,255,299,318
1,1,1,1,30,256,300,319
1,1,3,1,30,248,301,320
2,3,21,56,81,0,0,0
2,5,155,0,0,0,0,0
1,1,3,47,82,257,0,0
2,4,7,4,46,0,0,0
2,5,156,0,0,0,0,0
5,5,157,0,0,0,0,0
1,1,3,1,12,89,302,321
1,1,3,1,4,258,303,322
1,1,3,1,13,255,304,323
2,5,158,0,0,0,0,0
1,1,3,1,21,259,305,324
1,1,3,1,14,260,306,325
1,1,27,1,13,179,307,326
1,7,25,17,29,261,0,0
1,1,38,1,2,227,308,327
1,1,3,1,1,93,309,328
1,7,20,17,11,262,0,0
33,4,7,4,10,0,0,0
1,1,3,1,6,263,310,329
5,5,159,0,0,0,0,0
1,1,3,1,16,38,311,330
1,1,27,1,6,236,312,331
2,3,21,57,83,0,0,0
1,1,3,1,24,69,58,332
1,1,3,1,29,105,313,333
1,1,3,1,13,26,22,334
1,1,3,1,13,174,314,335
1,1,1,1,16,20,315,336
28,3,160,45,0,0,0,0
1,1,3,1,2,173,316,337
1,1,3,1,4,159,176,338
1,1,3,1,13,171,317,339
1,1,3,1,14,264,318,340
1,1,3,1,14,114,319,341
1,1,3,1,7,67,320,342
1,1,3,1,3,16,321,343
2,5,161,0,0,0,0,0
1,1,3,1,4,77,322,344
1,1,3,1,29,265,323,345
2,4,6,58,0,0,0,0
1,1,3,1,2,2,324,346
13,4,6,9,0,0,0,0
1,1,1,7,28,266,0,0
1,1,1,1,14,17,325,347
1,1,3,1,2,267,326,348
1,1,1,1,29,268,327,349
1,1,3,1,1,109,328,350
2,5,162,0,0,0,0,0
1,1,3,1,4,165,329,351
1,1,3,1,12,128,330,352
2,5,163,0,0,0,0,0
1,1,164,21,26,44,0,0
1,1,1,1,2,215,331,353
1,1,3,1,4,176,263,354
1,1,1,1,6,5,332,355
1,1,3,1,13,86,333,356
2,5,165,0,0,0,0,0
1,1,3,1,16,38,334,357
28,3,166,32,0,0,0,0
2,5,167,0,0,0,0,0
